Section,Name,How_knew_David,Tribute,Name_for_index
INFORMATION_THEORY,Nick Goldman,I knew David through the Cambridge 'probability community' and then as thesis committee member for some of my students and advisor on scientific projects and grants,"Many people will have more to say about David's brilliance in his own fields. My experience of him was more when he gave me and my colleagues and students the benefit of his probability and coding insights into problems in *our* specialisms. He was one of the very few people who could rapidly understand new problems and cut to the heart of them with fresh insights and actionable plans. Unlike some others with this skill, he achieved this in a way that made it feel like a valuable collaboration that you were being entrusted to proceed with, and not a trivial gift from a genius to a mere mortal. Which may have been what it was, but not what anyone wants to hear.

By acting in this way with me and my students in particular, I always felt he made a much greater contribution. We felt our research was interesting and important, and we always left with new ideas of where we could go next with it. The inspiration was arguably just as important as the actual advice.","Goldman, Nick"
PERSON,Prof Adrian Weller MBE,I read his books and reached out to talk. He kindly and patiently took time. I was thrilled and deeply honoured to be the first David MacKay Newton Research Fellow at Darwin College. David continues to be a huge inspiration to me and many others.,"I loved his books, I loved how he thought and his teaching style, and I loved that he put great efforts into trying to change the world for the better. I also hugely admire his amazing endurance and transparency in dealing with his health issues at the end.","Weller, Adrian"
ITILA,"Michael Betancourt, PhD",Read his book,"At the beginning of my PhD I was assigned a difficult data analysis project; in preparation I started looking for useful data analysis references.  One of my undergrad classmates recommended “Information Theory, Inference, and Learning Algorithms” and, as so many others have experienced, I was immediately fascinated.  David’s writing was lucid yet playful; I laughed as much as I learned, and I learned _a lot_.

I vividly remember the broken detector example in Chapter 3 demonstrating the natural interplay between statistics and science, and how it contrasted with the disconnect between statistics and science that had plagued so much of my academic course work.  My ongoing work on methodology that bridges statistics and science can all be traced back to that example.

His introduction to Hamiltonian Monte Carlo was my first real experience with Markov chain Monte Carlo.  It inspired not only a hand-coded implementation for my thesis analysis, but also a theoretical research program that lead to a deeper understanding of the method.  Those insights then made direct improvements to Stan, and from there many other probabilistic programming tools.  

A common theme in that Hamiltonian Monte Carlo research has been understanding the behavior of probability distributions and probabilistic computation in high-dimensions.  Here, too, David’s writing provided critical understanding.  The way I conceptualize and communicate these high-dimensional behaviors all derives from his discussion of typical sets and concentration of measure.

I had the privilege of meeting David in person a few times, and he never ceased to be kind and entertaining.  A few months before he passed we both attended a small workshop, which gave me the opportunity to thank him for his work and its influence on my own.  After ten years I am grateful to have the opportunity to continue sharing his work, and see how it continues to help and inspire others.","Betancourt, Michael"
INFORMATION_THEORY,Andrew Childs,"Student in his course and collaborator on ""Exact sampling from non-attractive distributions using summary states""","I learned information theory from David during a term spent as an exchange student at Cambridge in early 2000. His lectures and his book were both incredibly inspiring. David's teaching was a model of clarity, and he cared deeply both about the subject and about bringing it to a wider audience. I also had the amazing opportunity to do a small research project with David (and another Caltech exchange student) during that term. Working with David was wonderful. He gave us a framework and the freedom to explore on our own, and at the same time wasn't above getting into the weeds. I miss interacting with him, and I'm grateful for his impact on my career.","Childs, Andrew"
ITILA,David Barber,,"I first came across David's work in the early 1990s as I tried to understand Machine Learning, generalisation and overfitting. Amongst the different schools of thought, David's Bayesian approach stood out for me as a principled way to think about parameter fitting and model selection. His papers (and his PhD thesis) brought clarity to an otherwise confusing scene and he was gifted with the ability to explain his ideas simply and widely. David was a towering figure in our community and his influence was enormous, even after he later focussed his attention outside of Machine Learning.  He achieved so much in his scientific life, in Machine Learning, Information Theory and Energy -- an intellectual mentor to many. He pioneered free textbooks in Machine Learning, championed environmental causes,  donating money also to the defence of Sally Clark.  At his heart, David was a man of principle who passionately supported the causes he believed in. The world is poorer without him, but enriched by his lasting impact.","Barber, David"
SEWTHA,"Sylvain Condamin, PhD.","Student of his, read his book. ","I met David as an exchange student, and I am very thankful for his warm welcome in the Inference group. He had the rare ability to build bridges between different fields of research, as well as a deep sense of the greater good. SEWTHA was a masterful work, one of the best books made to enlighten the public debate. ","Condamin, Sylvain"
ITILA,Seb Wills,"student and postdoc of his, and personal friend","David's undergrad course on information theory and neural networks blew my mind wide open. Each lecture was a beautifully crafted story, Feynman-esque, with lecture notes that were the early drafts of ITILA. He was a teacher eager to take every opportunity to improve the clarity of insight he was offering, constantly seeking feedback. David's openness and inclusivity extended naturally to undergraduates. An email expressing an interest in a PhD in the Inference Group brought, by return, an invitation to chat over dinner at Darwin, and to attend the Group's weekly seminars. Looking back at some of these emails, I am reminded of his unique email style. Rather than inefficiently polishing and refining replies, he rattled them out at the command line, without the ability to edit what he'd written so far. Brain to text, always progressing, no looking back!

He radiated infectious enthusiasm and inclusivity. There were no artificial boundaries. Social justice cross-fertilised with academic research cross-fertilised with fun. Institutional limits were irrelevant, and he preferred to explore topics from first principles and in his own style, only later checking whether what he had derived was already known in the literature.

Go to him with a problem, and you'd come away with six more to investigate. Trying to keep up was not always easy for a PhD student, but it was truly inspiring. I am honoured to have been part of his world.","Wills, Seb"
SEWTHA,Dr. Saul Griffith,,"David was a legend in energy and environment using reason and his powers of communication, math, and estimation, to build logical frameworks for how to deal with the energy aspect of climate change. I met David through this work.  I think we started writing books on energy at about the same time, but with his typical discipline David beat me to publication by 5 or more years with the wonderful tome ""Sustainable Energy Without the Hot Air"".  My book Electrify (MIT Press) focussed this work on the American context and added policy context. I only got to meet David once, in Cambridge, and we spent a delightful few days. We shared more than an interest in energy, also in information theory and folding bicycles. His guided tour of Cambridge will be a lifelong memory for me, as are many little snippets he shared.  ""All human activity is folly"" was a wonderful way of expressing that we shouldn't judge other people's uses and desires for use of energy. His other sage advice: an electric blanket is by far the most efficient way to sleep warm. David was instantly lovable and I miss him dearly if only to see his name pop up in my inbox again to discuss some minutiae of energy and climate.","Griffith, Saul"
INFORMATION_THEORY,Amin Shokrollahi,,"I first came to know David through his pioneering work on LDPC codes in the late 1990s. I was deeply struck by the originality of his ideas and by the unexpected connections he revealed between coding theory, physics, and machine learning. Over the years, we collaborated on problems in coding theory, and he generously served as a co-referee for one of my PhD students at EPFL. What always stayed with me was the richness of his thinking: he had a rare gift for looking at a problem from multiple angles and drawing brilliant links between seemingly distant fields. Every discussion with him left me intellectually enriched. Ten years ago, I had the honor of speaking at the MacKay conference, shortly before his untimely passing. It was there that I fully appreciated the breadth of his impact—not only as a scientist and engineer, but as a human being whose curiosity, generosity, and integrity touched so many lives. His death was a profound loss for science at large, and especially for machine learning and information theory. He remains a role model for many of us.","Shokrollahi, Amin"
DASHER,Jade Theriault ,,"I love Dasher. I’m an artist and AT professional as well as a functional quadriplegic with limited hand use so the minimal clicking saves so much time. I also have ADHD and the speed and visual stimulation options are paramount to my focus. It almost feels like a gamified typing software. Best part is showing it off to my friends and colleagues for the “oos” and “ahhs.” I just know this project was developed with disabled people in mind, particularly those who are unsatisfied with most other accessible typing options. So I appreciate the work from David MacKay and whoever else is/was involved with this project.","Theriault, Jade"
SEWTHA,Dr Archy de Berker,"My girlfriend was a student of his, and recommended his book","David was a brilliant and brave polymath who inspired me to go to wherever the important problems were. He was willing to contribute at whatever level of technical depth was most impactful - from software to hardware to policy. I've tried to follow that example, putting on different hats and learning whatever skills were necessary to make progress towards the goal that he first articulated for me, building a decarbonized grid. 

Many brilliant academics bury their insights under layers of jargon and pomp - David was unusually able to share his clearly and simply, in a way that benefited far more people.","Berker, Archy"
INFORMATION_THEORY,"Prof. Philipp Hennig, PhD","I was the last PhD student to join the Inference Group, in 2007","A growing chorus of algorithmically amplified pied pipers seeks to fog our minds. David, though, wasn’t just committed to the truth, he also had the rare ability to infect others with the clarity of his thoughts. He transmitted lucidity through words, drawings, and code. To receive an individualised dose of this treatment was among the greatest privileges of my life. Because David spoke not to persuade, but to empower, people enjoyed learning even difficult truths from him. As humanity considers leaving the thinking to the machines, David's absence seems all the more painful. We lost a beacon, just as night began to fall.","Hennig, Philipp"
DASHER,Will Wade,Collaborated on Dasher,"I joined the Ace Centre just as the initial trials for Dasher were concluding. At the time, I was relatively new to the field, and though I had experience working with disabilities, I found myself constantly frustrated by the agonizingly slow interfaces of traditional communication systems. Seeing Dasher for the first time changed everything; I was absolutely blown away.

Over the years, I have returned to David’s videos time and again, drawn to his clarity and vision. My only regret is that I didn't have more opportunities to work with him directly. Since then, it has been my privilege to support over 50 people worldwide in using Dasher. To this day, nothing else—nothing—matches the speed and fluidity it offers to mouse and head-pointer users. Seeing users reach speeds of 32 WPM is a testament to David’s genius.

As we now seek funding for the next iteration of Dasher, incorporating modern language models and updated design, I am filled with hope. The future is bright, and while I am deeply saddened that David isn’t here to see it, I hope his family and colleagues know that his legacy is alive, thriving, and still changing lives across the globe.","Wade, Will"
PERSON,Anthony Heading,"worked in the same field,  he was a mentor ","David was extraordinary.   Inspiring, kind, wise, creative; endlessly insightful,  far ahead of me but tremendously patient and generous with his time.   I remember an afternoon in his rooms in Cambridge, one of Keith Jarrett's Sun Bear concerts playing on some fine vinyl turntable, when he solved a problem that had stumped me.    Effortlessly, and then he took the time to teach me a new subject and a whole new way of thinking.    If they say never to meet your heroes,  David was a perfect counterexample,  a fully-qualified intellectually giant in the abstract,  but then an amazing human being underneath. ","Heading, Anthony"
DASHER,Steve Saling,David was an online friend and mentor related to Dasher.,I met David online about 2 years before he died. I have ALS and had become a big fan of Dasher. He introduced me to Ada Majorek and I became intimately involved with the latest release of Dasher 5.0. To say David MacKay changed my life would be an understatement. He returned my voice that ALS had so cruelly taken from me. Thank you David. You will be remembered forever. ️❤️,"Saling, Steve"
DASHER,Owen Kent,,"As a person with a disability, David's work into alternative computer input has allowed me to communicate more effectively and live more independently in my community. Particularly during my college days, his software Dasher allowed me to graduate from UC Berkeley.","Kent, Owen"
ITILA,Philip Sterne,PhD student of his.,"ITILA was the book that convinced me to apply to David’s group. It was the first text I encountered that combined deep mathematical rigor with intellectual playfulness. I remember joking that my supervisor had written an academic chapter on why sex was important — but what really struck me was his ability to treat serious ideas with both precision and curiosity. That tone shaped how I came to think about research.

It was a privilege to spend 4 years with David doing a PhD. David had a rare combination - he was intimidatingly smart, and also yet so approachable and enthusiastic. I remember someone coming to give a talk on their PhD (probably in the hopes of a postdoc). Early on in the presentation they pulled up a slide with a specific loss function that they wanted to optimize. On seeing the loss function he immediately raised his hand, and predicted all the results that were about to be presented, but then he also listed his concerns that this was the wrong loss function. An absolutely devastating critique of the talk, and yet it was also obvious that this wasn't done in a mean way, it was just really important to him to get the details right. He was a good guy to have on your side!

Late in my PhD, I would periodically email David and admit how stressed out I was. He would always give me a time to meet and discuss things even though he was super busy with his new role at the Chief Scientific Advisor to DECC. He always had kind and encouraging words for me, and I would leave with a new energy and optimism.

I won't ever have David's smarts, but since then I have always tried to emulate his patience and kindness.","Sterne, Philip"
DASHER,Sebastian Pape,Through his many papers on Dasher,"He changed the life of many people around the globe through his work on Dasher, giving them a voice via a writing method build for those who could not use any other. Despite never being able to meet him before his passing, he ultimately also changed my life after I found Dasher, as it became my main research focus for my PhD in the last 6 years. Thanks David!","Pape, Sebastian"
SEWTHA,Steph Willis,Read his book and student of his,"David shaped my whole career. As a 17 year old wondering what I might usefully do in the world I read SEWTHA and was blown away. By the clarity of the thinking, by the back of the envelope maths. I loved it. Off the back of that I decided to do an Engineering degree and focus on clean energy. 

At uni I was then lucky enough to go to a bunch of his lectures and he just continued to be a massive inspiration. In particular his explanation of why stabilising emissions wasn't enough has always stuck with me: framing the area under the curve of CO2 concentration over time as ""suffering"" to make clear that getting emissions to zero isn't enough - that you will eventually need some negative emissions and maybe even solar radiation management to get back to baseline. 

I now work in climate tech and try and do something useful to move us towards electrifying heating. I get all of our team to read the book and have basically bought copies of it to give to colleagues at every job I've ever done. The fact I work on climate at all, how I think about it, and how I try to communicate about it are all directly because David wrote SEWTHA. 

I'm so indebted to him and so grateful to him and so so sad that he didn't have longer to have even more impact. ","Willis, Steph"
CLARITY,Dr Samuel Duffield,Great admirer of his work and books,David's approach and skill in determining and impacting valuable lines of enquiry provides an incredible example to us all. As demonstrated by his research and books which continue to provide great insight.,"Duffield, Samuel"
ITILA,Bastian Eppler,read his book,I learned so much from his book ITILA.,"Eppler, Bastian"
PERSON,Jossy Sayir,we worked together at the Department of Engineering in Cambridge in 2015-2016,"Working closely with David in the last year of his life had a profound impact on my teaching and on my work. I am grateful to have had the opportunity to be part of David's life and continue to apply much of what I've learned from him on a daily basis. I could write an encyclopedia of anecdotes from my time working with David but will pick one here. After inadvertently mispronouncing David's surname during a talk I gave in December 2015, I got the following short email from him: ""Oh btw, just a bit of error-correction: my name MacKay rhymes with black eye. (not pat{\’e})""
","Sayir, Jossy"
SEWTHA,Julian Allwood,,"At the same time David was developing the material for SEWTHA I was leading a team looking at the options for decarbonising industry - a topic which David treats only rather lightly in his book.  We swapped ideas during the process, and following the launch of his book, he kindly put me in touch with the same publisher, and we duly followed SEWTHA with our book ""Sustainable Materials: with both eyes open."" Once our book was out, David was a generous advocate for us, and chaired a Royal Society public lecture I gave on it, helping to promote it.  We continued to share ideas, particularly about scalability, throughout his time as CSA in DECC.","Allwood, Julian"
CLARITY,Cory Doctorow,,"There's no shortage of popular *science* books, and these are quite useful if you want to satisfy your curiosity about why things are the way they are. But David pursued popular *engineering* books, and these were an invitation to imagine *how things could be*. MacKay didn't satisfy your curiosity, instead, he instilled a hunger for action, by drawing our attention to the gap between the glorious possible and the dismal now.","Doctorow, Cory"
SEWTHA,Tim Coote,Read book became collaborator in a small way,SEWTHA was great for building arguments on sane approaches to combating climate change. I had a small interaction with David on some details in the text. I also got a lot of value from some of his work on HCI.,"Coote, Tim"
PERSON,Peter Coles,,"As I said at the time of his death:
I didn’t actually know David very well personally – we met only a few times – but on each occasion I was struck not only by his sheer intelligence, but also his energy and the force  of his personality. You meet few people who make such a lasting impression so quickly as David. He was forthright in his views, but always honest and engaging. The word “luminary” definitely applied to him. One time we met was at a meeting about Bayesian Cosmology about a decade ago. He asked a question during my talk, which triggered a lively discussion that carried on into the coffee break. I was impressed that he saw immediately how to tackle a problem that I had struggled with for months. I feel honoured to have made his acquaintance, however briefly, and can’t even begin to imagine what people who were closer to him must be feeling at his loss in such a cruel fashion. I send my deepest condolences go out to his family and friends. He was brilliant and amazing person, and will be greatly missed.","Coles, Peter"
INFORMATION_THEORY,Peter Dayan,Colleague,"There was never a better time at the Gatsby Computational Neuroscience Unit than 3:45pm when it was David's turn to give a talk. Perfectly crafted explanations of fascinating phenomena with hot tea, and nary a hint of hot air.","Dayan, Peter"
INFORMATION_THEORY,Andrew Eckford,Read his book and worked in related areas,"David was a professor while I was doing my Ph.D., and we happened to be working in the same area at the time: applications of statistical inference to information theory and error-correcting codes. I had the privilege of meeting him once, and I remember him being kind and gracious as I described my project to him. More generally, it was always a pleasure to read David’s work, especially his textbook. He had a unique perspective on information-theoretic work that made his work fresh and insightful, and he was clearly talented as both a scientist and a communicator.","Eckford, Andrew"
INFORMATION_THEORY,"Dave Forney, Adjunct Professor Emeritus MIT EECS",,"David MacKay was certainly a remarkable individual who, among a great many other things, made a huge impact on information theory and coding by his rediscovery of Gallager’s low-density parity-check (LDPC) codes and his demonstration that they could be used to approach the Shannon limit with loopy-belief-propagation decoding.  By now, LDPC codes have become the most widely used capacity-approaching codes in practice.","Forney, Dave"
PERSON,Mike Cates FRS,colleague and personal friend,"
I first got to know David on his return to Cambridge from Caltech, post PhD, initially via my younger brother Andrew. David bought a house close to mine on Thornton Road, and we frequently visited each other for meals, music and conversation. His intellectual integrity and personal generosity were apparent from the start. David introduced me to the romantic composers and many films, and I introduced him to the music of Arvo Part and to Shostakovich's 24 Preludes and Fugues. After I moved to Edinburgh in 1995 David became a regular visitor, and we went walking together in the Highlands. Our adventures included a traverse of the Aonach Eagach (the two of us, plus Matthew Bramley), which started around 4pm and ended in a nocturnal descent beside the Clachaig Gully that even David found alarming. But we were young-ish and fool-ish and the risks seemed acceptable at the time. 

A few years later (or was it earlier?) David patiently guided me to the tops of most of the Cuillins (in Skye), his scrambling skills vastly exceeding my own. This was during one of those magical summers when a high-pressure system gets stuck over the Highlands, creating unlimited sunshine and visibility for weeks at a time. Memories of that trip form a permanent highlight of my 20 years in Scotland. Sporadically throughout those years we discussed science, the energy crisis, atheism, environmentalism, vegetarianism, politics, our personal lives, and almost everything in between. 

I returned to Cambridge in mid-2015 and started seeing more of David and his family, but in less than a year he was gone. His funeral was marked by a hand-decorated cardboard coffin, a samba band, and children blowing bubbles across the grave. It was a fitting tribute to a life that, although cut short, was so purposeful and so well-lived.

Since then, the world has changed, though not for the better. During David's lifetime, fewer and fewer of our political and business leaders rejected the unambiguous warnings of science: bad choices, made now for short-term gain, risk extinguishing our collective future. Now, more and more of them not only reject the science, but gleefully embrace those bad choices, as a badge of political honour. Faced with such monumental folly, I doubt even David, were he alive today, could steer us onto a less destructive path. But I know he would try, and miss the combination of realism, optimism, energy and practical action that he would bring to the task.

","Cates, Mike"
INFORMATION_THEORY,"Dan Costello Professor Emeritus, University of Notre Dame",,"David's contributions to the field of Information Theory and particularly to Coding Theory were remarkable given that his ideas had such an immediate impact on the then nascent area of low-density parity-check (LDPC) codes.  The insights he brought to the construction of LDPC codes completely transformed the way researchers approached this problem, and they continue to influence the design of capacity-approaching codes to this day.  His time working in our field was far too short, but his achievements will never be forgotten.","Emeritus, Dan"
SEWTHA,Hannah Ritchie,Read his book,"David MacKay's work completely changed how I think and talk about energy. It's now my job to communicate challenges in energy, climate, environment and other topics; I do that through the lens of data, and I owe a huge part of that to David's book, SEWTHA. David had a talent for understanding the minute complexity of energy systems while being able to step back and see the bigger picture; that's what made his work so powerful, and why his legacy continues to this day. I would love it if he were still here today, not least to hear what he thought about how things have changed, and where we need to go next. I never spoke to David personally, but I owe him a lot. He is missed.","Ritchie, Hannah"
INFORMATION_THEORY,Coryn Bailer-Jones,I was his postdoc from 1997-1998 at the Cavnedish,"I learned an awful lot from David during my 1.5 year postdoc with him (1997-1998). He was full of ideas and energy, was widely interested (I remember one heated lunchtime discussion about the likely intelligence of stone age people), opinionated (aren’t all Bayesians?), sometimes impatient, but passionate about both teaching and learning. His group was working on a wide range of cutting edge problems, and I learned a lot from the extended discussions in our group meetings and our numerous visitors. I count David as one of a handful of deeply inspiring people I have had the fortune to interact with in my life.","Bailer-Jones, Coryn"
PERSON,Mike Pickles,He was a visiting lecturer at the African Institute for Mathematical Sciences (AIMS) when I was resident lecturer there 2003-6.,"I met David when he was teaching at AIMS. He was of course a brilliant man and a dedicated teacher, but what I particularly remember him for is an act of kindness. During my second year at AIMS, there had been some internal conflicts about the institute's direction that caused the loss of some of the leadership. The task of supporting students and ensuring continuity in the course largely fell to me, at the time a recent postdoc. David came and offered to move to AIMS full-time to help, an insanely generous offer which would have uprooted his whole life, but that conversation really helped me, both because of the offer itself and just the act of checking up to support someone more junior. David has been one of my role models, both as a researcher and a teacher.","Pickles, Mike"
SEWTHA,"Rt Hon Ed Miliband MP, Secretary of State for Energy Security and Net Zero",,"It was my privilege to work with Professor David MacKay when I was Secretary of State for Energy and Climate Change and he served as our first Chief Scientific Adviser. I will always remember his ability to think big, explain the complex in simple terms, and his passion for his subject. He is deeply missed for his wisdom, intelligence, values and humanity.","Miliband, Rt"
PERSON,Jonny Edwards,"read both books, and had some brief communications.","It's not so much the books or the outputs (although they are all genuinely astounding), it's more the person. For me David held the torch for genuine interest and excitement in new ideas, and had the real power to explain and innovate. He absolutely changed my professional life in so many ways, I ultimately started a business because he was very complementary about an idea I had. All I can say is I will try to pass on his enthusiasm and keep my own ""beginners mind"". Love and Thanks.","Edwards, Jonny"
ITILA,(anonymous),Student of his,David was always so clear and so right.  ITILA remains a point of reference despite how much the AI revolution has moved the field on since its publication over 20 years ago.  Many people in Cambridge and beyond have advanced their knowledge and understanding through its clear exposition of a diverse set of topics.,
CLARITY,Neil Gershenfeld,lots of mutual contacts,"David had a tremendous impact on my approach to mathematical modeling, through his uncanny ability to think simultaneously creatively and critically.","Gershenfeld, Neil"
CLARITY,Professor Per Ola Kristensson,Postdoctoral Advisor,"David was my postdoctoral advisor at the Inference Group in the Cavendish Laboratory when I was a Junior Resarch Fellow. I first met David in a workshop in Glasgow where someone in the audience kept interrupting my talk with a lot of questions. We spoke afterwards and I realised that spending time in his research group would be an eye opener. Before I met David I did not belive geniuses truly exist. You hear about some of them in the abstract but you tend not to encounter them in real life. David was a true genius. It is fascinating how his mind worked and how generous he was with his time, ideas, and intellect. David's books fully encompass the same ethos. They are about someone wanting you to truly understanding topics of great importance. The empathy to the student and the reader is always present. I feel very privileged having worked with David during those foundational years, which very much made me a different and better researcher and educator. I remember him sitting in his office working on his new book 'Without the Hot Air' until 1am in the Cavendish Laboratory. The wide range of intellectual contributions and the dedication to not just research or education but society at large is worth celebrating as an example of just how much it is possible to achieve in such a tragically short lifespan.","Kristensson, Per"
SEWTHA,Neil Kermode,Read his book,"SEWTHA was a breath of fresh air through the stuffy siloed booths of people bickering about irrelevancies of energy production and use. Of course we need to be efficient in our use of energy, but that might be better achieved by not buying the latest phone rather than making sure you get a new one with some 'eco' setting and unplugging the charger.

My greatest regret is that when he came up to Orkney to see the pioneering work on marine energy and general renewables work that I missed him. I was probably away from Orkney bickering with someone over the latest piece of governmental lunacy and missed his talk in the Royal Hotel. I always planned to get to see him in person another time...","Kermode, Neil"
SEWTHA,Alexander James Phillips,Read his book and exchanged some emails on UK energy.,"Looking back on his book and on our email exchanges, albeit too few, I realise now how huge an inspiration his approach was for my life trajectory.  I was equally bemused by the hot air of confusing conversation, so much so I quit my PhD in biotech at Cambridge to try to build some kind of new medium for collective sense making.  Fast forward 15 years and I'm still trying, but getting a lot closer now, and again I find myself returning to his work to act as another foundational pillar and guide in that journey.","Phillips, Alexander"
ITILA,Prof. Andrew Gelman,,"In his classic 2003 book on information theory, David wrote that, ""in many problems, we really only need about twelve independent samples.""  He explains:  ""Now, how accurately would a manager like to know [a parameter] Φ? I would suggest there is little point in knowing Φ to a precision finer than about σ/3. After all, the true cost is likely to differ by ±σ from Φ. If we obtain R = 12 independent samples from P(x), we can estimate Φ to a precision of σ/√12 – which is smaller than σ/3. So twelve samples suffice.""

This led me to wonder . . .  . . . where did the “12” come from in MacKay’s passage?  When I first saw the number there, I assumed it would have something to do with the variance of the uniform distribution. But that doesn’t seem to come up at all.  Accepting MacKay’s stipulation that σ/3 would be enough precision in this sort of example, shouldn’t he have said that 9 random draws would suffice?  I could see him rounding that up to 10.  Or even 16, if he wanted to get all base-2 on us.  But why 12?  I didn't get this at all.

So I asked David.  Here was his reply:  ""You said that can imagine rounding up 9 to 10 – which would be elegant if we worked in base 10.  But in the UK we haven’t switched to base 10 yet, we still work in dozens and grosses. . . . Probably in an earlier draft of the book in 2001 I said 'a dozen', rather than '12'. Then some feedbacker may have written and said 'I don’t know what a dozen is'; so then I sacrificed elegant language and replaced “dozen” by '12', which leads to your mystification.""

This reminds me that, when I was a kid, my dad told me that in Britain there was a Duodecimal Society, devoted to promoting base 12.  This was told to me in a ""There will always be an England"" sort of thing.  In writing this note, I was curious so I looked it up on the web, and it turns out that there is such a society, but it was first established in the United States.  So there!  I guess David was more American than he realized.","Gelman, Andrew"
INFORMATION_THEORY,Carl Edward Rasmussen,colleague and friend,"Tribute to David J C MacKay by Carl Edward Rasmussen

David was probably the person who influenced my thinking most, apart from my immediate supervisors. He was always kind, very generous with his time, and a clear and inspirational thinker. Our trajectories were surprisingly interwoven.

I first met David in Edinburgh in 1991. I was an engineering student at the Technical University of Denmark on a year long visit at the Centre for Cognitive Science in Edinburgh, and David was a PhD student at Caltech, visiting Edinburgh and giving a talk. His talk was on his thesis research on Bayesian inference in neural networks. This was a topic which I had never heard about at the time. And David's talk blew me away, I still remember it clearly. David's enthusiasm and clear explanations were extremely contagious. This one encounter greatly influenced my scientific trajectory. After returning to Copenhagen I wrote my MSc thesis on comparing David's evidence framework with the competing regularisation framework for training of neural networks.

During my thesis work I ran into some conceptual difficulties which had to do with certain mathematical limits governing inference. I had access to email, which was probably a bit unusual for students at the time. So I emailed David to ask for advice. Within a day I had an elaborate reply with calculations, explanations and plots, which helped me tremendously. I later discovered that it was typical of David to be so generous with his time. He thought it the most natural thing to help a stuck student who he didn't know.

When I joined Geoff Hinton's neural network group in Toronto, I found that David visited for a few weeks every summer. These were exciting times. I worked on Gaussian Processes, directly inspired by Bayesian inference in neural networks. David continued his work on Bayesian inference and worked on error correcting codes. His work on low density parity check codes clarified that these codes are able to reach the Shannon channel capacity limit, a fundamental result which wasn't widely known before David's work.

After my PhD I was a post doc at the Gatsby Computational Neuroscience Unit at UCL in London, where David had a part time contract. During this time I visited David's group in Cambridge and Darwin College multiple times, which was always very exciting and covering a wide range of topics.

David was a gifted lecturer. In his information theory course he would construct and analyse an error correcting code based on suggestions from the audience, an audacious and inspiring display of thinking on the fly. He was also demanding of his audience; once he jumped on the desk in the lecture hall, complaining that the audience wasn't interactive enough, ""this doesn't work for me!""

David's exceedingly high standards didn't always make it easy for collaborators. David's students had a bit of an informal support function, which stepped in when you'd experienced a bruising discussion with David about your research. I remember once having shared a draft of a paper about Occam's Razor with David. I met him a little while later, and asked him what he thought. I don't remember exactly what he said, I suspect my memory protects me with a little well targeted selective amnesia. But something like ""the worst paper I have ever read about this topic"". I hope he exaggerated at least a little bit for dramatic effect. But it hurt. And of course David was right. And I did fix it. 

David wasn't just a scientist in a narrow sense. He was also outspoken and a strong example for others with his engagement. Some of the topics which he contributed to where education ""Everyone should get an A"", justice (eg Sally Clark), international politics ""What is an illegal combatant?"" and climate change, among others.

David's book ""Sustainable Energy -- without the hot air"" was a great contribution. The core thesis of the book is to use back of the envelope calculations as a basis for energy policy. This view is epitomised by several quotes including ""numbers, not adjectives"". David went on to serve as Chief Scientific Advisor to the UK government, working in the Department of Energy and Climate Change (DECC).  

In 2015 David together with Crampton, Ockenfels and Stoft published a short paper in Nature ""Price carbon -- I will if you will"" about global climate cooperation and the power of common commitments. At the time, David said ""I think this is the most important piece of writing I have ever been involved in"". Despite David's monumental contributions including tranformative technical contributions and his books on information theory and sustainable energy, I do agree with David about the importance of the ideas in that paper. Unfortunately the rest of the world does not seem to share our enthusiasm for these ideas. But it is not without precedent that important ideas first appear ahead of their time and only get the attention they deserve much later.

It was a tragedy that David passed away so young. It was a privilege to have known and worked with him. May David's memory keep inspiring many of us in the future.","Rasmussen, Carl"
SEWTHA,Dr Patrick Royce,read his book,"I sadly never met David, but upon reading his amazing book SEWTHA, I was motivated into making a career change to work in clean energy and I'm sure he would be proud of how far we've come and how influential his work has been. By chance, for one of my first projects, I had the pleasure of managing the development of the MacKay Carbon Calculator, building on his calculator concept to help policy makers and the public gain a deeper understanding of energy choices and trade offs.","Royce, Patrick"
CLARITY,Oliver Johnson,Followed his work,"As a Cambridge Part III student thinking about directions for a PhD, I was blown away by David's generosity in sharing his time and insights over dinner in Darwin. Although we never worked together, I continued to follow his work with admiration from Bristol, and have sent more people than I care to remember in the direction of the treasure trove which is ITILA. His SWETHA approach to quantifying problems was always somewhere in my mind when doing pandemic public engagement in the COVID period.","Johnson, Oliver"
CLARITY,Peter Stevens,Student of his,"""if everyone does a little, we'll achieve only a little"". David possessed the rarest of qualities, an accurate and well developed sense of proportion, the ability to get most estimates right and the humility to revise them when appropriate. ","Stevens, Peter"
PERSON,Sanjoy Mahajan,"Friend, member of his lab, colleague","David had courage of many kinds.  His intellectual courage is well known and rightly respected.  Less known, he had social courage and campaigned for a better world -- be it for Sally Clark's release from jail or against the invasion of Iraq.  And strongest in my memory is how bravely David lived with his serious illness.  He is an example to us all.","Mahajan, Sanjoy"
CLARITY,Joseph Robson,collaborated on a paper at Cambridge (1998),"Briefly collaborating with David as a PhD student made a strong impression on me. His clear thinking, ability to get to the core of a problem, and patience in making something complex understandable have stuck with me many years later.","Robson, Joseph"
