Section,Name,How_knew_David,Tribute,Name_for_index
DASHER,"Mick Donegan, PhD, MBE","At the time I met David I was Deputy Director of the ACE Centre, Oxford","I was introduced to David by ‘The Gatsby Foundation’ who, in the early 2000's, introduced us to each other and funded a joint project to optimise the use of Dasher for Eye Gaze. We called it 'The DECO (Dasher for Eye Control Optimisation) Project’. The outcome was highly successful in both raising awareness of Dasher and increasing the number of eye gaze users of the software. A talk I gave on behalf of both David and myself at the “ISAAC (International Society for Augmentative and Alternative Communication) Conference” in Brazil in 2006 was voted the best presentation of the conference. I was also fortunate enough to collaborate with David during the EU-funded COGAIN (Communication by Gaze Interaction) Project (2004- 2009) that involved Universities and Assistive Technology Centres from across Europe. I feel privileged to have known him and even more privileged to have had the opportunity to work alongside him. ","Donegan, Mick"
INFORMATION_THEORY,"Prof. Stephen Roberts, FREng",University of Oxford,"David’s work on Bayesian methods in machine learning fundamentally reshaped my sense of what was possible. Through his ideas, uncertainty stopped being a nuisance to be engineered away and became a first-class citizen, something to be understood and respected. Our conversations, ranging from the deep connections between uncertainty and energy–entropy tradeoffs to the hard, practical question of how to scale Bayesian methods to real-world problems, were endlessly fascinating. He had a rare ability to move effortlessly between principle and practice, showing that mathematical rigour, efficient computation and real-world application need not be at odds. What made David truly exceptional was not only the depth of his insight, but the generosity and clarity with which he shared it. He was never short of a wonderful analogy that could illuminate a difficult concept and he constantly encouraged thinking beyond accepted limits. In doing so, he helped extend the boundaries of the art of the possible, inspiring those around him to aim higher and think more boldly. His influence endures not just in methods and models, but in the way many of us now think about probabilistic learning, uncertainty and the creative reach of machine learning.","Roberts, Stephen"
INFORMATION_THEORY,John J Hopfield,,"David Mackay was one of the most selfless physicists I have known. 

He was a lecturer in my course at Caltech in the 90's. He wrote out problem sets and answers for the course. He wrote instructive books on energy and physics. Not only were the books useful, but he gave them away whenever possible. He understood the physics of every device he approached.

Finding himself with incurable cancer and in Addenbrooke's, he developed a public blog aiming at improving conditions in the ward, even with humor.  

A close associate who also completed his Ph.D with me at Caltech, was Sanjoy Mahajan, who is now on the Physics faculty at the University of Lund. I attach a photograph of me and David at the Royal Society in August 2012. 

Here is a quote I made in his original obituary:
"" John Hopfield has described as follows the positive impact David made at Caltech: 

No description of David at Caltech would be complete without mentioning the effect of his clarity of thought and exposition on those around him. He was a concise and constructive critic of the research of others, a joyful participant in wide-ranging scholarly debate."" 

A truly admirable man, worthy of great posthumous remembrance.

Thanks for your taking on this task, from the many whose lives he enhanced.","Hopfield, John"
INFORMATION_THEORY,Prof. Franck Tancret,Collaborator at the University of Cambridge 1998-2000,"I met David MacKay on a few occasions while I was a postdoc in Cambridge between 1998 and 2000, working on alloy design in the Department of Materials Science and Metallurgy with Harry Bhadeshia, who was a close friend of David. They had met as fellows at Darwin College, where the magic of Cambridge colleges operated exactly as it is meant to: through social events, people from very different academic domains meet, talk, get along, and sometimes imagine improbable collaborations. In this case, it was the application of learning algorithms to metallurgy, as tools for alloy design. What sounded like a rather bizarre idea at the time would become, in the following decades, one of the most active fields in materials science. Today, ""machine learning"" is present in most materials science studies worldwide. Back then, I was simply curious about these methods and about how they could be applied to my own field. Reading David's papers, discussing with him and using his codes, Bayesian learning progressively became as natural to me as using an optical microscope or a microhardness tester. It was only later, when I started presenting my work to the wider materials community, that I realised —through people’s reactions— that David and Harry had in fact opened up a completely new field of research. At the time, this sometimes meant being perceived as a curious beast or an extraterrestrial! I eventually lost contact with David, but all my career I continued to work on alloy design using these methods, trying to associate them to other tools. I followed with interest the rapid rise of ""artificial intelligence"", largely driven by deep learning. Yet, in retrospect, and considering the typically small, noisy, and scattered datasets encountered in metallurgy, I find David’s work on information theory and Bayesian learning and inference more inspiring than ever. As recently as January 2026, I had the opportunity to cite ITILA in a seminar entitled ""AI in materials science: small data versus big data"", highlighting the enduring relevance of David’s approach in an ""AI world"" obsessed with trillions of tokens and parameters. As an ""ultimate"" point, this also resonates with another of David’s messages: the importance of sobriety in both the treatment of data and the use of energy.","Tancret, Franck"
INFORMATION_THEORY,Sean Eddy,First met him at MRC-LMB in the 1990's. Wrote a short paper with him. Played ultimate frisbee with him on some Sundays!,"I first met David when I joined the MRC Laboratory of Molecular Biology in Cambridge in 1992 as a postdoc in computational biology. One of my postdoc mentors was Richard Durbin, Richard was working closely with Graeme Mitchison, and both Richard and Graeme had been talking to David about new inference problems arising in genome sequence analysis. David would come up to the LMB to join our computational biology discussion group.

David immediately saw every problem as a Bayesian inference problem. What's the data, what's the model, what are the parameters of interest, what are the nuisance parameters, what do you want to infer from the data; write down the probability of everything, turn the crank.  The clarity and swaggering confidence of David's approach was an epiphany. Suddenly the genomics problems I had been struggling to think about were illuminated in a common framework that always made sense and almost always worked. I became a convert and an acolyte to the gospel David preached to us. Sometime around when I first met him I asked him what the J.C. stood for in David J.C. MacKay and he said ""Jesus Christ"" with a straight face and to this day I'm not sure if he was joking.

I teach Bayesian statistical inference to undergraduate quantitative biologists at Harvard now, and every year there's the part where I stop to tell them about David.

","Eddy, Sean"
SEWTHA,Iain McLean FBA FRSE,Co-author and avid reader of SEWTHA," I may have been David’s most remote co-author. We were brought together by our third co-author, Roger Sewell, to write a paper on probabilistic voting schemes that bypass Arrow’s paradox (If you know why this matters, you know).The paper is 'Probabilistic electoral methods, representative probability, and maximum entropy' ""Voting Matters"" 2009. Though very remote from David’s main work, the paper has the unmistakable MacKay light touch and pedagogical deftness. The hard maths is in an appendix, replaced in the main text by A Tutorial Exposition. This is exactly the approach of David’s magnum opus  SEWTHA, which radically changed my lifestyle..

SEWTHA remains a pedagogic marvel. I keep it by my bed and reread p.24 constantly, to make sure I understand the difference between units of energy and units of power: a lesson the world and the media need as much now as they did then. It has completely changed my driving and house-heating habits (though on the latter I am not nearly as extreme as he was). Like many others I am fascinated by which of David’s predictions have done well and which have done badly. Solar and wind energy in the UK have expanded far quicker, and coal has disappeared far quicker, than he anticipated; on the other hand tidal generation, where the physics is rock-solid, has failed to go anywhere. Of course, some of the changes that have made David’s book out of date may be due to David himself and to Ed Miliband, who made the inspired appointment of David to be chief scientist at the energy department in 2009.
","McLean, Iain"
CLARITY,Neil Lawrence,"Student who attended inference group, later colleague, reader of books, I would hope friend!","David didn't just change my life, he continues to change, modify and mould. Not just through his works, actions and ideas, but also through his relationships. David didn't only inspire individuals, he inspired communities. 

Having David as a shared acquaintance is a ticket to a more sophisticated conversation. You simply have to ask, ""how would David have approached this"". While we cannot fully replicate what he would have done, we can aspire to approach it. We can remember together the precision his thinking would have brought to the problem. And as we debate the approaches we find that David still bonds us today. Whenever we are together we have more of David there than when we are alone. As he was fond of saying, everything is connected, and we are more connected because of him. 


","Lawrence, Neil"
PERSON,Dr Alan Lawrence MA PhD,Postdoc supervisor in the Inference Group,"I've had the pleasure of working with a few great minds such as David in various roles. All have seen further than I, but David stands out in a couple of ways. Firstly, these minds vary in how much patience they had with idiots like me. David seemed to have infinite patience. Secondly, in their efforts to apply their knowledge in helping others. David stood out in how he tried to both solve humanity's greatest problems (in SEWTHA) and to help those in greatest need (e.g. the Dasher project). He is sorely missed.","Lawrence, Alan"
CLARITY,"Professor Michelle Povinelli, PhD","Churchill Scholar and MPhil Student, 1997-8, Inference Group","David was a creative and original scholar who took real intellectual risks. He did not stick to a narrow field, nor try and ""maximize his output"" along a narrow technical trajectory. Instead, decided to take on one of the biggest problems of our age, how to make human energy usage sustainable, and attacked it head on, first through his book, and then through his work with government. His boldness is inspirational.","Povinelli, Michelle"
PERSON,David Duvenaud,"Had dinner with him once, know most of his students well.","I only spoke at length with David Mackay a couple of times, but he's loomed large in my life.  Both as the advisor to many of my friends and colleagues, but even more importantly to me, as a figure to emulate.

I have many colleagues and mentors who have excellent judgement in their areas of expertise, but what set David apart was his ability to weigh sensibly in on apparently any subject, without making a fool of himself.  I think in doing so he set the standard for how brilliant and accomplished people can and should carry themselves.

He didn't seek politics or drama for its own sake, but he equally wasn't cowed by the apparent expertise of others or the standard academic polite practice of leaving unfamiliar matters to those with the corresponding credentials.  By doing this, he provided a civilizational ""defense in depth"" against important fields becoming politically captured.

I also learned a lot from his blog detailing his dying of cancer.  I've attempted to emulate his amazing attitude when facing similar struggles.","Duvenaud, David"
CLARITY,Ruediger Urbanke,Colleague working in information theory and in particular coding.,"David was a wonderful colleague who brought a breath of fresh air into the information theory and coding community. He had an extremely broad background, with interests spanning statistical physics, machine learning, information theory, and sustainable energy. This allowed him to see things in a new light and to connect dots that had not been connected before. He was less interested in the epsilons and deltas—where our community often gets stuck—than in the broad and important ideas. He was always fun to talk to, with strong opinions and a great sense of humour. In one of our last conversations, when—who knows how—we got talking about his strong opinions, he pointed out that in his family his brother was the one who was considered opinionated! But most of all, any opinion was, to him, something to be tested by the scientific method. He is dearly missed, as a visionary, a great scientist, and as a friend.","Urbanke, Ruediger"
